tournament_id	capture_key	name	class	queue_priority	basis
155	SS-155	Liga Profesional de Fútbol	core	1	G1:CORE взрослые мужские
169	SS-169	Vysshaya Liga	core	1	G1:CORE взрослые мужские
170	SS-170	HNL	core	1	G1:CORE взрослые мужские
171	SS-171	Cyprus League by Stoiximan	core	1	G1:CORE взрослые мужские
172	SS-172	Czech First League	core	1	G1:CORE взрослые мужские
173	SS-173	National League	core	1	G1:CORE взрослые мужские
178	SS-178	Premium Liiga	core	1	G1:CORE взрослые мужские
179	SS-179	Kakkonen, Group A	core	1	G1:CORE взрослые мужские
180	SS-180	Kakkonen, Group B	core	1	G1:CORE взрослые мужские
181	SS-181	Kakkonen, Group C	core	1	G1:CORE взрослые мужские
182	SS-182	Ligue 2	core	1	G1:CORE взрослые мужские
183	SS-183	Ligue 3	core	1	G1:CORE взрослые мужские
185	SS-185	Stoiximan Super League	core	1	G1:CORE взрослые мужские
186	SS-186	Super League 2	core	1	G1:CORE взрослые мужские
187	SS-187	OTP Bank Liga	core	1	G1:CORE взрослые мужские
188	SS-188	Besta deild karla	core	1	G1:CORE взрослые мужские
192	SS-192	Premier Division	core	1	G1:CORE взрослые мужские
193	SS-193	First Division	core	1	G1:CORE взрослые мужские
195	SS-195	FAI Cup	core	1	G1:CORE взрослые мужские
196	SS-196	J1 League	core	1	G1:CORE взрослые мужские
197	SS-197	Virsliga	core	1	G1:CORE взрослые мужские
198	SS-198	TOPLYGA	core	1	G1:CORE взрослые мужские
199	SS-199	1. MFL	core	1	G1:CORE взрослые мужские
200	SS-200	NIFL Premiership	core	1	G1:CORE взрослые мужские
202	SS-202	Ekstraklasa	core	1	G1:CORE взрослые мужские
203	RUS-Premier League	Russian Premier League	core	1	registry:tournaments.json (дейли до #1370)
204	SS-204	First League	core	1	G1:CORE взрослые мужские
205	SS-205	FNL	core	1	G1:CORE взрослые мужские
206	SS-206	Scottish Championship	core	1	G1:CORE взрослые мужские
207	SS-207	Scottish League One	core	1	G1:CORE взрослые мужские
209	SS-209	Scottish League Two	core	1	G1:CORE взрослые мужские
210	SS-210	Mozzart Bet Superliga	core	1	G1:CORE взрослые мужские
211	SS-211	Niké Liga	core	1	G1:CORE взрослые мужские
212	SS-212	PrvaLiga	core	1	G1:CORE взрослые мужские
213	SS-213	Supercopa de España	core	1	G1:CORE взрослые мужские
215	SS-215	Swiss Super League	core	1	G1:CORE взрослые мужские
216	SS-216	Challenge League	core	1	G1:CORE взрослые мужские
217	SS-217	DFB Pokal	core	1	G1:CORE взрослые мужские
218	SS-218	Ukrainian Premier League	core	1	G1:CORE взрослые мужские
220	SS-220	Suomen Cup	core	1	G1:CORE взрослые мужские
222	SS-222	WWIN Liga BiH	core	1	G1:CORE взрослые мужские
224	SS-224	Slovakia League Two	core	1	G1:CORE взрослые мужские
229	SS-229	Betclic 1. Liga	core	1	G1:CORE взрослые мужские
231	SS-231	Liga FUTVE	core	1	G1:CORE взрослые мужские
238	SS-238	Liga Portugal Betclic	core	1	G1:CORE взрослые мужские
239	SS-239	Liga Portugal 2	core	1	G1:CORE взрослые мужские
240	SS-240	LigaPro Serie A	core	1	G1:CORE взрослые мужские
242	SS-242	MLS	core	1	G1:CORE взрослые мужские
246	SS-246	AFC Asian Cup	core	1	G1:CORE взрослые мужские
247	SS-247	Parva Liga	core	1	G1:CORE взрослые мужские
254	SS-254	Cymru Premier	core	1	G1:CORE взрослые мужские
266	SS-266	Israeli Premier League	core	1	G1:CORE взрослые мужские
