id	name	country	confederation	tier	class	route	live	current_saison_id	step2_saison_ids	fotmob_id	sofascore_id	fbref_id	reason
BRCR	Campeonato Carioca - Taça Rio	Brazil	Americas	regional	core_club	pokal	1	2025					rule:Brazilian state championship
BRDF	Campeonato Brasiliense	Brazil	Americas	regional	core_club	pokal	1	2025					rule:Brazilian state championship
BRES	Campeonato Capixaba	Brazil	Americas	regional	core_club	pokal	1	2025					rule:Brazilian state championship
BRGO	Campeonato Goiano	Brazil	Americas	regional	core_club	pokal	1	2025					rule:Brazilian state championship
BRMA	Campeonato Maranhense	Brazil	Americas	regional	core_club	pokal	1	2025					rule:Brazilian state championship
BRMS	Campeonato Mato-Grossense	Brazil	Americas	regional	core_club	pokal	1	2025					rule:Brazilian state championship
BRMT	Campeonato Sul-Mato-Grossense	Brazil	Americas	regional	core_club	pokal	1	2025					rule:Brazilian state championship
BRNE	Copa do Nordeste	Brazil	Americas	cup	core_club	pokal	1	2025		9429	1596		rule:default
BRP1	Campeonato Paranaense - Quadrangular de Rebaixamen	Brazil	Americas	playoff	core_club	pokal	1	2025					rule:default
BRP3	Campeonato Catarinense - Quadrangular de Rebaixame	Brazil	Americas	regional	core_club	wettbewerb	1	2025					rule:Brazilian state championship
BRP4	Campeonato Maranhense - Quadrangular de Rebaixamen	Brazil	Americas	playoff	core_club	pokal	1	2025					rule:default
BRP5	Campeonato Carioca - Quadrangular de Rebaixamento	Brazil	Americas	regional	core_club	wettbewerb	1	2025					rule:Brazilian state championship
BRP6	Taça Acesc 70 Anos	Brazil	Americas	cup	core_club	pokal	1	2025					rule:default
BRPA	Campeonato Paraense	Brazil	Americas	regional	core_club	pokal	1	2025					rule:Brazilian state championship
BRPB	Campeonato Paraibano	Brazil	Americas	regional	core_club	pokal	1	2025					rule:Brazilian state championship
BRPE	Campeonato Pernambucano	Brazil	Americas	regional	core_club	pokal	1	2025					rule:Brazilian state championship
BRPI	Campeonato Piauiense	Brazil	Americas	regional	core_club	pokal	1	2025					rule:Brazilian state championship
BRPR	Campeonato Paranaense	Brazil	Americas	regional	core_club	pokal	1	2025					rule:Brazilian state championship
BRQR	Campeonato Gaúcho - Relegation Round	Brazil	Americas	regional	core_club	wettbewerb	1	2025					rule:Brazilian state championship
BRRD	Campeonato Rondoniense	Brazil	Americas	regional	core_club	pokal	1	2025					rule:Brazilian state championship
BRRN	Campeonato Potiguar	Brazil	Americas	regional	core_club	pokal	1	2025					rule:Brazilian state championship
BRRR	Campeonato Roraimense	Brazil	Americas	regional	core_club	pokal	1	2025					rule:Brazilian state championship
BRRS	Campeonato Gaúcho	Brazil	Americas	regional	core_club	pokal	1	2025					rule:Brazilian state championship
BRSC	Campeonato Catarinense	Brazil	Americas	regional	core_club	pokal	1	2025					rule:Brazilian state championship
BRSE	Campeonato Sergipano	Brazil	Americas	regional	core_club	pokal	1	2025					rule:Brazilian state championship
BRTO	Campeonato Tocantinense	Brazil	Americas	regional	core_club	pokal	1	2025					rule:Brazilian state championship
BRVE	Copa Verde	Brazil	Americas	cup	core_club	pokal	1	2025			10158		rule:default
BSL1	Brunei Super League	Brunei Darussalam	AFC	1	core_club	wettbewerb	1	2026					rule:default
BTCU	Baltic Cup	International	UEFA	international	core_national	pokal	1	2025			1060		rule:national team (review C9-F4, registry says club cup)
BU1	efbet Liga	Bulgaria	UEFA	1	core_club	wettbewerb	1	2026	2015,2016,2017,2018,2019,2020,2021,2022,2023,2024				rule:default
BU2	Vtora Liga	Bulgaria	UEFA	2	core_club	wettbewerb	1	2026	2015,2016,2017,2018,2019,2020,2021,2022,2023,2024		1135		rule:default
BULS	Bulgarian Super Cup	Bulgaria	UEFA	supercup	core_club	pokal	1	2026					rule:default
BVP	Landespokal Bayern	Germany	UEFA	cup	amateur	pokal	1	2026					rule:German state cup
BZ1A	Liga Premier de Belice Apertura	Belize	Americas	1	core_club	wettbewerb	1	2026					rule:default
BZ1C	Liga Premier de Belice Clausura	Belize	Americas	1	core_club	wettbewerb	1	2025					rule:default
BZP1	Liga Premier de Belice Apertura Playoffs	Belize	Americas	playoff	core_club	wettbewerb	1	2025					rule:default
BZP2	Liga Premier de Belice Clausura Playoffs	Belize	Americas	playoff	core_club	wettbewerb	1	2025					rule:default
C1	Super League	Switzerland	UEFA	1	core_club	wettbewerb	1	2026	2015,2016,2017,2018,2019,2020,2021,2022,2023,2024	69			rule:default
C17C	Schweizer Cup U17	Switzerland	UEFA	youth	youth	pokal	1	2026					rule:youth
C191	Swiss U19 Elite League	Switzerland	UEFA	youth	youth	wettbewerb	1	2026	2023,2024				rule:youth
C2	Challenge League	Switzerland	UEFA	2	core_club	wettbewerb	1	2026	2015,2016,2017,2018,2019,2020,2021,2022,2023,2024	163			rule:default
C20Q	CONCACAF U-20 Championship-Qualifying	International	Americas	international	youth	pokal	1	2025					rule:youth
C220	CONCACAF U-20 Championship	International	Americas	international	youth	pokal	1	2025					rule:youth
C3BR	Championnat National 2 - Groupe E	France	UEFA	5	amateur	wettbewerb	1	2026	2015,2016,2017,2018,2019,2020,2021,2022,2023,2024				rule:tier 5
C3CM	Championnat National 2 - Groupe A	France	UEFA	5	amateur	wettbewerb	1	2026	2015,2016,2017,2018,2019,2020,2021,2022,2023,2024				rule:tier 5
C3HF	Championnat National 2 - Groupe G	France	UEFA	5	amateur	wettbewerb	1	2026	2015,2016,2017,2018,2019,2020,2021,2022,2023,2024				rule:tier 5
C3IF	Championnat National 2 - Groupe H	France	UEFA	5	amateur	wettbewerb	1	2026	2015,2016,2017,2018,2019,2020,2021,2022,2023,2024				rule:tier 5
C3NA	Championnat National 2 - Groupe B	France	UEFA	5	amateur	wettbewerb	1	2026	2015,2016,2017,2018,2019,2020,2021,2022,2023,2024				rule:tier 5
